LIGGGHTS (Version LIGGGHTS-PUBLIC 3.8.0, compiled 2024-03-31-20:10:17 by buildd, git commit unknown)
Reading data file ...
  orthogonal box = (-1 -1 -1) to (1 7 1)
  1 by 1 by 1 MPI processor grid
  100 atoms

Reading STL file 'wall.stl' (mesh processing step 1/3) 
Setting up run at Sun Mar 15 12:26:25 2026

Mesh cad: 1 elements have high aspect ratio (soft limit: smallest angle > 0.500000 ° required)
WARNING: Fix mesh: Mesh contains highly skewed element, moving mesh (if used) will not parallelize well (./src/surface_mesh_I.h:657)
WARNING: Mesh cad: proc 0 has 1 element pairs that are coplanar, share an edge and overlap (but are not duplicate)
Import and parallelization of mesh cad containing 2498 triangle(s) successful
Memory usage per processor = 14.4494 Mbytes
    Step    Atoms         KinEng            CPU 
  600000      100      22.230847      62.160718 
  601000      100      22.336501       62.27666 
  602000      100      22.300781      62.395017 
  603000      100       22.20174      62.500181 
  604000      100      22.253908      62.605149 
  605000      100       22.14686      62.710174 
  606000      100      22.166714      62.821125 
  607000      100      22.233833       62.93398 
  608000      100      22.165752      63.039302 
  609000      100      22.242292       63.14745 
  610000      100      22.244324      63.269935 
  611000      100      22.245498      63.389366 
  612000      100      22.334479       63.50719 
  613000      100      22.428727      63.625514 
  614000      100      22.522299      63.745323 
  615000      100      22.555521      63.867776 
  616000      100      22.465079      63.992554 
  617000      100      22.544943      64.110072 
  618000      100      22.565021      64.219222 
  619000      100      22.568577      64.331264 
  620000      100      22.576694      64.435814 
  621000      100      22.605004      64.542626 
  622000      100      22.633023        64.6446 
  623000      100      22.707999      64.744982 
  624000      100      22.723992      64.849006 
  625000      100      22.712956      64.954426 
  626000      100      22.690715      65.066304 
  627000      100       22.75081      65.166452 
  628000      100      22.781989       65.26956 
  629000      100      22.756764       65.37715 
  630000      100      22.787351      65.495301 
  631000      100       22.76705      65.607855 
  632000      100      22.712132      65.717019 
  633000      100      22.748391      65.819554 
  634000      100      22.722921      65.927402 
  635000      100      22.668131      66.036173 
  636000      100      22.735691      66.151332 
  637000      100      22.774655       66.26213 
  638000      100      22.738616      66.368315 
  639000      100      22.824118      66.473647 
  640000      100      22.954355      66.593588 
  641000      100      23.085332      66.714749 
  642000      100      23.086171      66.834577 
  643000      100      23.147708      66.956559 
  644000      100       23.19526      67.081118 
  645000      100      23.206938      67.202678 
  646000      100      23.282273      67.324088 
  647000      100      23.437422      67.443111 
  648000      100      23.479151      67.554814 
  649000      100      23.457522      67.664279 
  650000      100      23.393337      67.773989 
  651000      100      23.475235      67.901647 
  652000      100      23.466829      68.029744 
  653000      100      23.490981      68.155669 
  654000      100      23.563205      68.275455 
  655000      100      23.658331      68.384976 
  656000      100      23.734825      68.500071 
  657000      100      23.798535      68.611821 
  658000      100      23.791142       68.72273 
  659000      100      23.908606      68.843416 
  660000      100      23.945002      68.952224 
  661000      100      23.991128       69.06193 
  662000      100      24.088344      69.171973 
